Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Vila Real;Alijó;Favaios;LED;528.0;528.0;528.0;16837.600006103516;17;1701;170107
2026;5;Vila Real;Alijó;Favaios;Outros/Não definido;89.0;89.0;89.0;270.0;17;1701;170107
2026;5;Vila Real;Alijó;Pegarinhos;LED;315.0;309.0;315.0;10436.0;17;1701;170108
2026;5;Vila Real;Alijó;Pinhão;LED;284.0;284.0;284.0;9857.099876403809;17;1701;170109
2026;5;Vila Real;Alijó;São Mamede de Ribatua;LED;310.0;310.0;310.0;11110.599990844727;17;1701;170114
2026;5;Vila Real;Alijó;Vila Verde;LED;617.0;617.0;617.0;21012.80002593994;17;1701;170117
2026;5;Vila Real;Alijó;Vilar de Maçada;LED;602.0;587.0;591.0;18540.0;17;1701;170118
2026;5;Vila Real;Alijó;Vilar de Maçada;Outros/Não definido;40.0;40.0;40.0;;17;1701;170118
2026;5;Vila Real;Alijó;Castedo e Cotas;LED;334.0;334.0;334.0;12785.900005340576;17;1701;170121
2026;5;Vila Real;Alijó;Pópulo e Ribalonga;Sódio;9.0;9.0;9.0;1190.0;17;1701;170122
2026;5;Vila Real;Chaves;Águas Frias;Sódio;10.0;10.0;10.0;700.0;17;1703;170301
2026;5;Vila Real;Chaves;Bustelo;LED;279.0;279.0;279.0;10884.0;17;1703;170305
2026;5;Vila Real;Chaves;Cimo de Vila da Castanheira;LED;361.0;361.0;361.0;13270.0;17;1703;170309
2026;5;Vila Real;Chaves;Curalha;Outros/Não definido;5.0;5.0;5.0;225.0;17;1703;170310
2026;5;Vila Real;Chaves;Ervededo;Sódio;100.0;100.0;100.0;7000.0;17;1703;170312
2026;5;Vila Real;Chaves;Faiões;Sódio;19.0;19.0;19.0;1330.0;17;1703;170313
2026;5;Vila Real;Chaves;Lama de Arcos;Outros/Não definido;7.0;7.0;7.0;90.0;17;1703;170314
2026;5;Vila Real;Chaves;Lama de Arcos;Sódio;11.0;11.0;11.0;920.0;17;1703;170314
2026;5;Vila Real;Chaves;Mairos;Outros/Não definido;5.0;5.0;5.0;;17;1703;170316
2026;5;Vila Real;Chaves;Mairos;Sódio;136.0;136.0;136.0;9760.0;17;1703;170316
2026;5;Vila Real;Chaves;Moreiras;Outros/Não definido;2.0;2.0;2.0;;17;1703;170317
2026;5;Vila Real;Chaves;Nogueira da Montanha;LED;526.0;526.0;526.0;17034.0;17;1703;170318
2026;5;Vila Real;Chaves;Nogueira da Montanha;Outros/Não definido;2.0;2.0;2.0;90.0;17;1703;170318
2026;5;Vila Real;Chaves;Oura;Outros/Não definido;4.0;4.0;4.0;300.0;17;1703;170320
2026;5;Vila Real;Chaves;Oura;Sódio;169.0;169.0;169.0;12100.0;17;1703;170320
2026;5;Vila Real;Chaves;Outeiro Seco;LED;701.0;624.0;701.0;28974.0;17;1703;170321
2026;5;Vila Real;Chaves;Outeiro Seco;Outros/Não definido;142.0;142.0;142.0;180.0;17;1703;170321
2026;5;Vila Real;Chaves;Outeiro Seco;Sódio;22.0;16.0;22.0;2040.0;17;1703;170321
2026;5;Vila Real;Chaves;Paradela;LED;167.0;167.0;167.0;4878.0;17;1703;170322
